repm,mediane
0,310894584
1,309508932
2,309174264
3,309390600
4,309586620
5,309433932
6,309206352
7,309364440
8,309150324
9,309403464
10,309562740
11,309295632
12,309260748
13,309573516
14,309275640
15,309658488
16,309307824
17,309323436
18,309468372
19,309346704
20,309351840
21,309246768
22,309584352
23,309404592
24,309864456
25,309312828
26,309892680
27,309334392
28,309355104
29,309363636
30,309911820
31,309574236
32,310216236
33,309138480
34,309971820
35,309701280
36,309435912
37,309659844
38,309495336
39,309541524
40,309455700
41,309579420
42,309647724
43,309234048
44,309482724
45,309439152
46,309898152
47,309385272
48,309627936
49,309407280
50,309982260
51,309128868
52,309557448
53,309530664
54,309387684
55,309359112
56,309358824
57,309782004
58,309396048
59,309386436
60,309217560
61,309448356
62,309579612
63,310196040
64,309237576
65,309772656
66,309398028
67,309330828
68,309298932
69,309710808
70,309761280
71,309711168
72,309433644
73,309595452
74,309617880
75,309547560
76,309207312
77,309482820
78,310133592
79,309768852
80,309558804
81,309758256
82,309137544
83,309400836
84,309424272
85,310020384
86,309395508
87,309532392
88,309795360
89,310341732
90,309351492
91,309412236
92,309421752
93,309700764
94,309601368
95,309583128
96,309640584
97,309752916
98,309472584
99,309158784
100,309454608
101,309658584
102,309501084
103,309302736
104,309395196
105,309326784
106,310209948
107,309301104
108,309516816
109,309939432
110,309577152
111,309317364
112,309600768
113,309403596
114,309559644
115,309157044
116,309788580
117,309433464
118,309579540
119,309473868
120,310014144
121,309262320
122,309355104
123,309383292
124,309888636
125,309394020
126,309466020
127,309507360
128,310119936
129,309282600
130,309435408
131,309423108
132,309976560
133,309468660
134,309583272
135,309893520
136,309609516
137,309502788
138,309285864
139,309371772
140,309903360
141,309465828
142,309210960
143,309732180
144,309276828
145,309737352
146,309208584
147,309637524
148,309431448
149,309922392
150,309204984
151,309906468
152,309458232
153,309323460
154,309376452
155,310313628
156,309444792
157,309382692
158,309137064
159,310416420
160,309362304
161,309494736
162,309233880
163,310289400
164,309464712
165,309563064
166,309251232
167,310020432
168,309330168
169,309302652
170,309616524
171,309729420
172,309661476
173,309187572
174,310091256
175,309330300
176,309332940
177,309130440
178,309445920
179,309501828
180,309740676
181,309454620
182,309703044
183,309698304
184,309556080
185,309338196
186,309608640
187,309529152
188,310090956
189,309304308
190,309276132
191,309541812
192,309534672
193,309186876
194,309928608
195,309511716
196,309665496
197,309289116
198,310463436
199,309428448
200,309538500
201,309071136
202,310252716
203,309458340
204,309394584
205,309085140
206,310003212
207,309485052
208,309209052
209,309394920
210,310128504
211,309492204
212,309350136
213,310388892
214,309248208
215,309614688
216,309169968
217,309933240
218,309507960
219,309701304
220,309248028
221,309320760
222,309660816
223,309603408
224,309205968
225,309769200
226,309404400
227,309809460
228,309227724
229,309532536
230,309554760
231,309812640
232,309175572
233,310520196
234,309321456
235,309706308
236,309054972
237,309927852
238,309350796
239,309506352
240,309325368
241,310032132
242,309290208
243,309471156
244,309143052
245,310357584
246,309399048
247,309333744
248,309474876
249,309827268
250,309772080
251,309168420
252,309301872
253,309691104
254,309699408
255,308958492
256,309694716
257,309573756
258,309907548
259,309294780
260,309715692
261,309393924
262,310046292
263,309118200
264,309749928
265,309475116
266,309651156
267,309409944
268,309696996
269,309773244
270,309663624
271,309223944
272,309865524
273,309409188
274,309780228
275,309520980
276,310025208
277,309635556
278,309532788
279,309229392
280,309957576
281,309483252
282,309582648
283,309001764
284,310462644
285,309643392
286,309366060
287,309274740
288,310423356
289,309662580
290,309482640
291,309310476
292,310371444
293,309852420
294,309444456
295,309408192
296,309807372
297,309581256
298,309281340
299,310036380
300,309474168
301,309886680
302,309239088
303,309918324
304,309243264
305,310016412
306,309508740
307,309784608
308,309404820
309,309606648
310,309368808
311,309877260
312,309436812
313,309730524
314,309264996
315,310017228
316,309632952
317,309784776
318,309478428
319,310063704
320,309804804
321,309495924
322,309347376
323,310215972
324,309708540
325,309378552
326,309240708
327,310555188
328,309766008
329,309359988
330,309736476
331,309882336
332,309884784
333,309356328
334,309546648
335,309943080
336,309997932
337,309245016
338,309750984
339,309374676
340,309743040
341,309486612
342,309884604
343,309426324
344,309984312
345,309100200
346,310135464
347,309255108
348,309985608
349,309202776
350,309816408
351,309483612
352,309882876
353,309719820
354,310084956
355,309594552
356,309826512
357,309393912
358,310584936
359,309734352
360,309277488
361,309459948
362,310128960
363,309787272
364,309431892
365,309385560
366,310730748
367,309892908
368,309220536
369,309552924
370,310125888
371,309762828
372,309181992
373,309913176
374,309555540
375,309777528
376,309239916
377,309820992
378,309574728
379,310119804
380,309508476
381,309752064
382,309613392
383,309671184
384,309315732
385,310236324
386,309477900
387,310075644
388,309306984
389,310113348
390,309426984
391,309915924
392,309235080
393,310530468
394,309329316
395,309824784
396,309592104
397,310407252
398,309488856
399,309740532
